,Unnamed: 0,Year,Country,Song,Artist,Points,Lyrics
0,0,2024,Switzerland,The Code,Nemo,591,none
1,1,2024,Croatia,Rim Tim Tagi Dim,Baby Lasagna,547,none
2,2,2024,Ukraine,Teresa & Maria,alyona alyona & Jerry Heil,453,none
3,3,2024,France,Mon amour,Slimane,445,none
4,4,2024,Israel,Hurricane,Eden Golan,375,none
5,5,2024,Ireland,Doomsday Blue,Bambie Thug,278,none
6,6,2024,Italy,La noia,Angelina Mango,268,none
7,7,2024,Armenia,Jako,Ladaniva,183,none
8,8,2024,Sweden,Unforgettable,Marcus & Martinus,174,none
9,9,2024,Portugal,Grito,Iolanda,152,none
10,10,2024,Greece,Zari,Marina Satti,126,none
11,11,2024,Germany,Always on the Run,Isaak,117,none
12,12,2024,Luxembourg,Fighter,Tali,103,none
13,13,2024,Lithuania,Luktelk,Silvester Belt,90,none
14,14,2024,Cyprus,Liar,Silia Kapsis,78,none
15,15,2024,Latvia,Hollow,Dons,64,none
16,16,2024,Serbia,Ramonda,Teya Dora,54,none
17,17,2024,United KingdomUK,Dizzy,Olly Alexander,46,none
18,18,2024,Finland,No Rules!,Windows95man,38,none
19,19,2024,Estonia,(nendest) narkootikumidest ei tea me (küll) midagi,5miinust & Puuluup,37,none
20,20,2024,Georgia,Firefighter,Nutsa Buzaladze,34,none
21,21,2024,Spain,Zorra,Nebulossa,30,none
22,22,2024,Slovenia,Veronika,Raiven,27,none
23,23,2024,Austria,We Will Rave,Kaleen,24,none
24,24,2024,Norway,Ulveham,Gåte,16,none
25,25,2023,Sweden,Tattoo,Loreen,583,none
26,26,2023,Finland,Cha Cha Cha,Käärijä,526,none
27,27,2023,Israel,Unicorn,Noa Kirel,362,none
28,28,2023,Italy,Due vite,Marco Mengoni,350,none
29,29,2023,Norway,Queen of Kings,Alessandra,268,none
30,30,2023,Ukraine,Heart of Steel,Tvorchi,243,none
31,31,2023,Belgium,Because of You,Gustaph,182,none
32,32,2023,Estonia,Bridges,Alika,168,none
33,33,2023,Australia,Promise,Voyager,151,none
34,34,2023,Czechia,My Sister's Crown,Vesna,129,none
35,35,2023,Lithuania,Stay,Monika Linkytė,127,none
36,36,2023,Cyprus,Break a Broken Heart,Andrew Lambrou,126,none
37,37,2023,Croatia,Mama ŠČ!,Let 3,123,none
38,38,2023,Armenia,Future Lover,Brunette,122,none
39,39,2023,Austria,Who The Hell Is Edgar?,Teya & Salena,120,none
40,40,2023,France,Évidemment,La Zarra,104,none
41,41,2023,Spain,Eaea,Blanca Paloma,100,none
42,42,2023,Moldova,Soarele și Luna,Pasha Parfeni,96,none
43,43,2023,Poland,Solo,Blanka,93,none
44,44,2023,Switzerland,Watergun,Remo Forrer,92,none
45,45,2023,Slovenia,Carpe Diem,Joker Out,78,none
46,46,2023,Albania,Duje,Albina & Familja Kelmendi,76,none
47,47,2023,Portugal,Ai coração,Mimicat,59,none
48,48,2023,Serbia,Samo mi se spava,Luke Black,30,none
49,49,2023,United KingdomUK,I Wrote A Song,Mae Muller,24,none
50,50,2023,Germany,Blood & Glitter,Lord Of The Lost,18,none
51,51,2022,Ukraine,Stefania,Kalush Orchestra,631,none
52,52,2022,United KingdomUK,Space Man,Sam Ryder,466,none
53,53,2022,Spain,SloMo,Chanel,459,none
54,54,2022,Sweden,Hold Me Closer,Cornelia Jakobs,438,none
55,55,2022,Serbia,In corpore sano,Konstrakta,312,none
56,56,2022,Italy,Brividi,Mahmood & Blanco,268,none
57,57,2022,Moldova,Trenulețul,Zdob și Zdub & Advahov Brothers,253,none
58,58,2022,Greece,Die Together,Amanda Georgiadi Tenfjord,215,none
59,59,2022,Portugal,"Saudade, saudade",Maro,207,none
60,60,2022,Norway,Give That Wolf a Banana,Subwoolfer,182,none
61,61,2022,Netherlands,De diepte,S10,171,none
62,62,2022,Poland,River,Ochman,151,none
63,63,2022,Estonia,Hope,Stefan,141,none
64,64,2022,Lithuania,Sentimentai,Monika Liu,128,none
65,65,2022,Australia,Not The Same,Sheldon Riley,125,none
66,66,2022,Azerbaijan,Fade To Black,Nadir Rustamli,106,none
67,67,2022,Switzerland,Boys Do Cry,Marius Bear,78,none
68,68,2022,Romania,Llámame,WRS,65,none
69,69,2022,Belgium,Miss You,Jérémie Makiese,64,none
70,70,2022,Armenia,Snap,Rosa Linn,61,none
71,71,2022,Finland,Jezebel,The Rasmus,38,none
72,72,2022,Czechia,Lights Off,We Are Domi,38,none
73,73,2022,Iceland,Með hækkandi sól,Systur,20,none
74,74,2022,France,Fulenn,Alvan & Ahez,17,none
75,75,2022,Germany,Rockstars,Malik Harris,6,none
76,76,2021,Italy,Zitti e buoni,Måneskin,524,none
77,77,2021,France,Voilà,Barbara Pravi,499,none
78,78,2021,Switzerland,Tout l'univers,Gjon's Tears,432,none
79,79,2021,Iceland,10 Years,Daði & Gagnamagnið,378,none
80,80,2021,Ukraine,Shum,Go_A,364,none
81,81,2021,Finland,Dark Side,Blind Channel,301,none
82,82,2021,Malta,Je me casse,Destiny,255,none
83,83,2021,Lithuania,Discoteque,The Roop,220,none
84,84,2021,Russia,Russian Woman,Manizha,204,none
85,85,2021,Greece,Last Dance,Stefania,170,none
86,86,2021,Bulgaria,Growing Up Is Getting Old,Victoria,170,none
87,87,2021,Portugal,Love Is On My Side,The Black Mamba,153,none
88,88,2021,Moldova,Sugar,Natalia Gordienko,115,none
89,89,2021,Sweden,Voices,Tusse,109,none
90,90,2021,Serbia,Loco Loco,Hurricane,102,none
91,91,2021,Cyprus,El Diablo,Elena Tsagrinou,94,none
92,92,2021,Israel,Set Me Free,Eden Alene,93,none
93,93,2021,Norway,Fallen Angel,TIX,75,none
94,94,2021,Belgium,The Wrong Place,Hooverphonic,74,none
95,95,2021,Azerbaijan,Mata Hari,Efendi,65,none
96,96,2021,Albania,Karma,Anxhela Peristeri,57,none
97,97,2021,San Marino,Adrenalina,Senhit feat. Flo Rida,50,none
98,98,2021,Netherlands,Birth Of A New Age,Jeangu Macrooy,11,none
99,99,2021,Spain,Voy a quedarme,Blas Cantó,6,none
100,100,2021,Germany,I Don't Feel Hate,Jendrik,3,none
101,101,2021,United KingdomUK,Embers,James Newman,0,none
102,102,2019,Netherlands,Arcade,Duncan Laurence,498,none
103,103,2019,Italy,Soldi,Mahmood,472,none
104,104,2019,Russia,Scream,Sergey Lazarev,370,none
105,105,2019,Switzerland,She Got Me,Luca Hänni,364,none
106,106,2019,Sweden,Too Late for Love,John Lundvik,334,none
107,107,2019,Norway,Spirit In The Sky,KEiiNO,331,none
108,108,2019,North MacedoniaN.Macedonia,Proud,Tamara Todevska,305,none
109,109,2019,Azerbaijan,Truth,Chingiz,302,none
110,110,2019,Australia,Zero Gravity,Kate Miller-Heidke,284,none
111,111,2019,Iceland,Hatrið mun sigra,Hatari,232,none
112,112,2019,Czechia,Friend of a Friend,Lake Malawi,157,none
113,113,2019,Denmark,Love is Forever,Leonora,120,none
114,114,2019,Cyprus,Replay,Tamta,109,none
115,115,2019,Malta,Chameleon,Michela,107,none
116,116,2019,Slovenia,Sebi,Zala Kralj & Gašper Šantl,105,none
117,117,2019,France,Roi,Bilal Hassani,105,none
118,118,2019,Albania,Ktheju tokës,Jonida Maliqi,90,none
119,119,2019,Serbia,Kruna,Nevena Božović,89,none
120,120,2019,San Marino,Say Na Na Na,Serhat,77,none
121,121,2019,Estonia,Storm,Victor Crone,76,none
122,122,2019,Greece,Better Love,Katerine Duska,74,none
123,123,2019,Spain,La venda,Miki,54,none
124,124,2019,Israel,Home,Kobi Marimi,35,none
125,125,2019,Belarus,Like It,Zena,31,none
126,126,2019,Germany,Sister,S!sters,24,none
127,127,2019,United KingdomUK,Bigger Than Us,Michael Rice,11,none
128,128,2018,Israel,Toy,Netta,529,none
129,129,2018,Cyprus,Fuego,Eleni Foureira,436,none
130,130,2018,Austria,Nobody But You,Cesár Sampson,342,none
131,131,2018,Germany,You Let Me Walk Alone,Michael Schulte,340,none
132,132,2018,Italy,Non mi avete fatto niente,Ermal Meta & Fabrizio Moro,308,none
133,133,2018,Czechia,Lie To Me,Mikolas Josef,281,none
134,134,2018,Sweden,Dance You Off,Benjamin Ingrosso,274,none
135,135,2018,Estonia,La forza,Elina Nechayeva,245,none
136,136,2018,Denmark,Higher Ground,Rasmussen,226,none
137,137,2018,Moldova,My Lucky Day,DoReDos,209,none
138,138,2018,Albania,Mall,Eugent Bushpepa,184,none
139,139,2018,Lithuania,When We're Old,Ieva Zasimauskaitė,181,none
140,140,2018,France,Mercy,Madame Monsieur,173,none
141,141,2018,Bulgaria,Bones,Equinox,166,none
142,142,2018,Norway,That's How You Write a Song,Alexander Rybak,144,none
143,143,2018,Ireland,Together,Ryan O'Shaughnessy,136,none
144,144,2018,Ukraine,Under The Ladder,Mélovin,130,none
145,145,2018,Netherlands,Outlaw In 'Em,Waylon,121,none
146,146,2018,Serbia,Nova deca,Sanja Ilić & Balkanika,113,none
147,147,2018,Australia,We Got Love,Jessica Mauboy,99,none
148,148,2018,Hungary,Viszlát nyár,AWS,93,none
149,149,2018,Slovenia,"Hvala, ne!",Lea Sirk,64,none
150,150,2018,Spain,Tu canción,Amaia & Alfred,61,none
151,151,2018,United KingdomUK,Storm,SuRie,48,none
152,152,2018,Finland,Monsters,Saara Aalto,46,none
153,153,2018,Portugal,O jardim,Cláudia Pascoal,39,none
154,154,2017,Portugal,Amar pelos dois,Salvador Sobral,758,none
155,155,2017,Bulgaria,Beautiful Mess,Kristian Kostov,615,none
156,156,2017,Moldova,Hey Mamma,Sunstroke Project,374,none
157,157,2017,Belgium,City Lights,Blanche,363,none
158,158,2017,Sweden,I Can't Go On,Robin Bengtsson,344,none
159,159,2017,Italy,Occidentali's Karma,Francesco Gabbani,334,none
160,160,2017,Romania,Yodel It!,Ilinca feat. Alex Florea,282,none
161,161,2017,Hungary,Origo,Joci Pápai,200,none
