Year,Country,Song,Artist,Points
2025Basel,—,—,,—
2024Malmö,Switzerland,The Code,Nemo,591
2023Liverpool,Sweden,Tattoo,Loreen,583
2022Turin,Ukraine,Stefania,Kalush Orchestra,631
2021Rotterdam,Italy,Zitti e buoni,Måneskin,524
2020cancelled,—,—,,—
2019Tel,Netherlands,Arcade,Duncan Laurence,498
2018Lisbon,Israel,Toy,Netta,529
2017Kyiv,Portugal,Amar pelos dois,Salvador Sobral,758
2016Stockholm,Ukraine,1944,Jamala,534
2015Vienna,Sweden,Heroes,Måns Zelmerlöw,365
2014Copenhagen,Austria,Rise Like a Phoenix,Conchita Wurst,290
2013Malmö,Denmark,Only Teardrops,Emmelie de Forest,281
2012Baku,Sweden,Euphoria,Loreen,372
2011Düsseldorf,Azerbaijan,Running Scared,Ell/Nikki,221
2010Oslo,Germany,Satellite,Lena,246
2009Moscow,Norway,Fairytale,Alexander Rybak,387
2008Belgrade,Russia,Believe,Dima Bilan,272
2007Helsinki,Serbia,Molitva,Marija Šerifović,268
2006Athens,Finland,Hard Rock Hallelujah,Lordi,292
2005Kyiv,Greece,My Number One,Helena Paparizou,230
2004Istanbul,Ukraine,Wild Dances,Ruslana,280
2003Riga,Turkey,Everyway That I Can,Sertab Erener,167
2002Tallinn,Latvia,I Wanna,Marie N,176
2001Copenhagen,Estonia,Everybody,"Tanel Padar, Dave Benton & 2XL",198
2000Stockholm,Denmark,Fly On The Wings Of Love,Olsen Brothers,195
1999Jerusalem,Sweden,Take Me To Your Heaven,Charlotte Nilsson,163
1998Birmingham,Israel,Diva,Dana International,172
1997Dublin,United KingdomUK,Love Shine A Light,Katrina and The Waves,227
1996Oslo,Ireland,The Voice,Eimear Quinn,162
1995Dublin,Norway,Nocturne,Secret Garden,148
1994Dublin,Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,226
1993Millstreet,Ireland,In Your Eyes,Niamh Kavanagh,187
1992Malmö,Ireland,Why Me?,Linda Martin,155
1991Rome,Sweden,Fångad av en stormvind,Carola,146
1990Zagreb,Italy,Insieme: 1992,Toto Cutugno,149
1989Lausanne,Yugoslavia,Rock Me,Riva,137
1988Dublin,Switzerland,Ne partez pas sans moi,Céline Dion,137
1987Brussels,Ireland,Hold Me Now,Johnny Logan,172
1986Bergen,Belgium,J'aime la vie,Sandra Kim,176
1985Gothenburg,Norway,La det swinge,Bobbysocks,123
1984Luxembourg,Sweden,Diggi-loo Diggy-ley,Herrey's,145
1983Munich,Luxembourg,Si la vie est cadeau,Corinne Hermès,142
1982Harrogate,Germany,Ein bißchen Frieden,Nicole,161
1981Dublin,United KingdomUK,Making Your Mind Up,Bucks Fizz,136
1980The,Ireland,What's Another Year,Johnny Logan,143
1979Jerusalem,Israel,Hallelujah,Milk and Honey,125
1978Paris,Israel,A-Ba-Ni-Bi,Izhar Cohen and the Alphabeta,157
1977London,France,L'Oiseau et l'Enfant,Marie Myriam,136
1976The,United KingdomUK,Save Your Kisses for Me,Brotherhood of Man,164
1975Stockholm,Netherlands,Ding-a-dong,Teach-In,152
1974Brighton,Sweden,Waterloo,A,24
1973Luxembourg,Luxembourg,Tu te reconnaîtras,Anne-Marie David,129
1972Edinburgh,Luxembourg,Après toi,Vicky Leandros,128
1971Dublin,Monaco,"Un banc, un arbre, une rue",Séverine,128
1970Amsterdam,Ireland,All Kinds of Everything,Dana,32
1969Madrid,FranceNetherlandsSpainUnited KingdomUK,"Un Jour, Un Enfant",Frida Boccara,18
1968London,Spain,"La, la, la",Massiel,29
1967Vienna,United KingdomUK,Puppet on a String,Sandie Shaw,47
1966Luxembourg,Austria,Merci Chérie,Udo Jürgens,31
1965Naples,Luxembourg,"Poupée de cire, poupée de son",France Gall,32
1964Copenhagen,Italy,Non ho l'età,Gigliola Cinquetti,49
1963London,Denmark,Dansevise,Grethe & Jørgen Ingmann,42
1962Luxembourg,France,Un premier amour,Isabelle Aubret,26
1961Cannes,Luxembourg,Nous les amoureux,Jean-Claude Pascal,31
1960London,France,Tom Pillibi,Jacqueline Boyer,32
1959Cannes,Netherlands,Een beetje,Teddy Scholten,21
1958Hilversum,France,Dors mon amour,André Claveau,27
1957Frankfurt,Netherlands,Net als toen,Corry Brokken,31
1956Lugano,Switzerland,Refrain,Lys Assia,—
