Song name,Year,Language ,
The Code ,2024,English,
Tattoo,2023,English,
Stefania,2022,Ukranian,x
Zitti e buoni,2021,Italian,x
Arcade ,2019,English,
Toy,2018,primarily English,
Amar pelos dois,2017,portugese,x
1944,2016,primarliy English,
Heroes,2015,English,
Rise Like a Phoenix,2014,primarily English,
only teardrops,2013,English,
Euphoria,2012,English,
Running Scared,2011,English,
Satellite,2010,English,
Fairytale,2009,English,
Believe,2008,English,
Moltiva,2007,Serbian,x
Hard Rock Hallelujah,2006,English,
My number one,2005,English,
wild dances,2004,primarily English,
Everyway that i can,2003,English,
I wanna,2002,English,
Everybody ,2001,English,
Fly on the wings of love,2000,English,
Take me to your heaven,1999,English,
diva,1998,Hebrew,x
love shine a light,1997,English,
The voice,1996,English,
Nocturne,1995,Norwegian ,x
Rock n roll kids,1994,English,
In Your Eyes,1993,English,
why me,1992,English,
Fångad av en stormvind,1991,swedish,x
insieme: 1992,1990,italian,x
rock me ,1989,croatian ,x
Ne partez pas sans moi,1988,French,x
Hold Me Now,1987,English,
J'aime la vie,1986,French,x
La det swinge,1985,Norwegian,x
Diggi-loo Diggy-ley,1984,Swedish,x
Si la vie est cadeau,1983,French,x
Ein bißchen Frieden,1982,German,x
Making Your Mind Up,1981,English,
What's another year,1980,English,
Hallelujah,1979,Hebrew,x
A-Ba-Ni-Bi,1978,Hebrew,x
L'Oiseau et l'Enfant,1977,French,x
Save Your Kisses for Me,1976,English,
Ding-a-dong,1975,English,
Waterloo,1974,English,
Tu te reconnaîtras,1973,English,
Après toi,1972,French,x
"Un banc, un arbre, une rue",1971,French,x
All Kinds of Everything,1970,English,
Vivo cantando,1969,Spanish,x
boom bang-a-bang,1969,English,
De troubadour,1969,Dutch,x
"Un jour, un enfant",1969,French,x
"La, la, la",1968,Spanish,x
Puppet on a String,1967,English,
Merci Chérie,1966,German,x
"Poupée de cire, poupée de son",1965,French,x
Non ho l'età,1964,Italian,x
Dansevise,1963,Danish,x
Un premier amour,1962,French,x
Nous les amoureux,1961,French,x
Tom Pillibi,1960,French,x
Een beetje ,1959,Dutch,x
Dos mon amour,1958,French,x
Net als toen ,1957,Dutch,x
Refrain,1956,French,x
